	Magnet Bomb	Steel	Physical	2	15	Restrained		Foe in front	★★
	Metal Claw	Steel	Physical	2	15		Roll a d6 after damage has been dealt. On a 5-6, Atk Up 2.	Foe in front	★★
	Clamp	Water	Physical	1	15	Trapped		Foe in front	★★
	Flip Turn	Water	Physical	3	20		User switches place with an ally within 2 tiles.	Foe in front	★★
	Aqua Cutter	Water	Physical	2	15		Scores a Critical Hit on a 5-6.	Foe in front	★★
	Aqua Jet	Water	Physical	2	20		Has Priority	Foe up to 2 tiles ahead	★★
									
	Defend Order	Bug	Physical Status	0	10	Def Up 2. Sp.Def Up 2.		Self	★★
	Sticky Web	Bug	Physical Status	0	15	Spe Down 2	The user places a Sticky Web that slows if the Pokemon enters the same Tile. Webs can be stacked up to 3 times. Flying Pokemon and those that Levitate are unaffected.	Room	★★
	Switcheroo	Dark	Physical Status	0	15		You replace your current Held Item with the Foe's. Uses Sneak vs Awareness	Foe up to 2 tiles ahead	★★
	Hone Claws	Dark	Physical Status	0	15	Atk Up 2	The user's next Physical Move increases its range by 1 tile.	Self	★★
	Torment	Dark	Physical Status	0	15		Target cannot use the same Move twice in a row. Uses Influence vs Intuition	Foe up to 2 tiles ahead	★★
	Dragon Dance	Dragon	Physical Status	0	15	Atk Up 2. Spe Up 2.		Self	★★
	Charm	Fairy	Physical Status	0	15	Atk Down 4	Uses Influence vs Intuition	Foe up to 2 tiles ahead	★★
	Bulk Up	Fighting	Physical Status	0	15	Atk Up 2. Def Up 2.	User's size increases by one stage.	Self	★★
	Feather Dance	Flying	Physical Status	0	15	Atk Down 4		Foe up to 2 tiles ahead	★★
	Roost	Flying	Physical Status	2	15		User heals for the amount rolled, but is unable to be Flying or Levitating for 1 round.	Self	★★
	Curse	Ghost	Physical Status	1	15		If User is Non-Ghost Type, Spe Down 2, Atk Up 2, Def Up 2. If User is Ghost Type, lose 1d6 health, but the target takes 1d6 health per turn.	Self/Foe up to 2-tiles ahead	★★
	Cotton Guard	Grass	Physical Status	0	15	Def Up 4		Self	★★
	Synthesis	Grass	Physical Status	2	15		User heals for the amount rolled. Healing increases by 2d6 in Harsh Sunlight. Loses 1d6 healing in other Weather.	Self	★★
	Sand Attack	Ground	Physical Status	0	15	Blinded		Foes in a 1-tile range	★★
	Swords Dance	Normal	Physical Status	0	15	Atk Up 4		Self	★★
	Helping Hand	Normal	Physical Status	0	15		The target's next move gains 2d6 damage	Ally in front	★★
	Foresight	Normal	Physical Status	0	15		Target can be hit by Normal and Fighting Moves. Target no longer benefits from Illusions or Invisibility. Uses Intuition vs Deceive.	Foe up to 2-tiles ahead	★★
	Double Team	Normal	Physical Status	0	15		User makes an illusory double. Whenever attacked, roll a 1d6. If 1-3, User is hit. If 4-6, illusory double is hit and disappears.	Self	★★
	Screech	Normal	Physical Status	0	15	Def Down 4		Foe up to 2-tiles ahead	★★
	Growth	Normal	Physical Status	0	15	Atk Up 2. Sp.Atk Up 2.	User's size increases by one stage.	Self	★★
	Minimize	Normal	Physical Status	0	15	Def Up 2. Sp. Def Up 2.	User's size decreases by one stage.	Self	★★
	Toxic Spikes	Poison	Physical Status	0	15		The user places 3 spikes in a 2-tile radius that Poison if the Pokemon enters the same tile. Can be stacked, causing Badly Poisoned. Flying Pokemon and those that Levitate are unaffected.	Room	★★
	Coil	Poison	Physical Status	0	15	Atk Up 2. Def Up 2.	User's size decreases by one stage.	Self	★★
	Barrier	Psychic	Physical Status	0	15	Def Up 4		Self	★★
	Rest	Psychic	Physical Status	0	15	Asleep	User falls Asleep, and regains full HP at the start of their next turn.	Self	★★
	Agility	Psychic	Physical Status	0	15	Spe Up 4		Self	★★
	Tar Shot	Rock	Physical Status	0	15	Spe Down 2	Target takes 1d6 extra damage from Fire moves until the start of your next round.	Foe up to 2-tiles ahead	★★
	Rock Polish	Rock	Physical Status	0	15	Spe Up 4		Self	★★
	Iron Defence	Steel	Physical Status	0	15	Def Up 4		Self	★★
	Shift Gear	Steel	Physical Status	0	15	Atk Up 2. Spe Up 2.		Self	★★
									
	Signal Beam	Bug	Special	2	15	Confused		Foe up to 4 tiles ahead	★★
	Infestation	Bug	Special	2	15	Trapped		Foe up to 4tiles ahead	★★
	Dark Pulse	Dark	Special	2	15		Roll a d6 after damage has been dealt. On a 6, the target(s) is Flinched.	Foes in a 1-tile range	★★
	Dragon Breath	Dragon	Special	2	15	Paralysed		Foe up to 4 tiles ahead	★★
	Electroweb	Electric	Special	2	15	Spe Down 2		Foe up to 4 tiles ahead	★★
	Electro Ball	Electric	Special	2	15		Move power increases by 1 if faster than the target.	Foe up to 4 tiles ahead	★★
	Charge Beam	Electric	Special	1	15		Roll a d6 after damage has been dealt. On a 5-6, Sp.Atk Up 2.	Foe up to 4 tiles ahead	★★
	Overdrive	Electric	Special	1	15	Frightened		Foes in a 1-tile range	★★
	Disarming Voice	Fairy	Special	1	15			Foes in a 1-tile range	★★
	Dazzling Gleam	Fairy	Special	2	15	Blinded		Foe up to 4 tiles ahead	★★
	Aura Sphere	Fighting	Special	2	15		Scores a Critical Hit on a 5-6.	Foe up to 4 tiles ahead	★★
	Fire Spin	Fire	Special	2	15	Trapped		Foe up to 4 tiles ahead	★★
	Flame Burst	Fire	Special	2	15		*If there is a Pokemon adjacent to the target, it also takes damage equal to half the damage rolled.	Foe up to 4 tiles ahead*	★★
	Incinerate	Fire	Special	2	15		Burns up the target's held Berry	Foe up to 4 tiles ahead*	★★
	Air Slash	Flying	Special	2	15		Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe up to 4 tiles ahead	★★
	Hex	Ghost	Special	1	15		Increase move power by 1 if the target has a Status Condition.	Foe up to 4 tiles ahead	★★
	Mega Drain	Grass	Special	2	15		User heals for half the damage taken by the target.	Foe up to 4 tiles ahead	★★
	Mud Shot	Ground	Special	2	15	Spe Down 2		Foe up to 4 tiles ahead	★★
	Icy Wind	Ice	Special	2	15	Spe Down 2		Foe up to 4 tiles ahead	★★
	Uproar	Normal	Special	1	15		All Pokemon in the Room cannot fall Asleep for 5 turns.	Foes in a 1-tile range	★★
	Sonicboom	Normal	Special	1	15		Target is pushed 2 tiles away. If they collide with a wall or a Pokemon, they take 1d6 damage.	Foe up to 4 tiles ahead	★★
	Echoed Voice	Normal	Special	1	15		Increase move power by 1 if used in the previous turn.	Foes in a 1-tile range	★★
	Tri Attack	Normal	Special	2	15		Roll a d6 to determine Status Condition. On a 1-2, Burn. On a 3-4, Paralyzed. On a 5-6, Frozen.	Foe up to 4 tiles ahead	★★
	Acid Bomb	Poison	Special	2	20	Sp.Def Down 2		Foe up to 4 tiles ahead	★★
	Sludge	Poison	Special	2	15	Poisoned		Foe up to 4 tiles ahead	★★
	Venoshock	Poison	Special	2	15		Move power increases by 1 if the target is Poisoned	Foe up to 4 tiles ahead	★★
	Psybeam	Psychic	Special	2	15	Confused		Foe up to 4 tiles ahead	★★
	Ancient Power	Rock	Special	2	15		Roll a d6 after damage has been dealt. On a 6, Atk Up 2, Sp.Atk Up 2, Def Up 2, Sp.Def Up 2, Spe Up 2.	Foe up to 4 tiles ahead	★★
	Flash Cannon	Steel	Special	2	15	Blinded		Foe up to 4 tiles ahead	★★
	Whirlpool	Water	Special	2	15	Trapped		Foe up to 4 tiles ahead*	★★
	Octazooka	Water	Special	2	15	Blinded		Foe up to 4 tiles ahead*	★★
	Water Pulse	Water	Special	2	15	Confused		Foe up to 4 tiles ahead	★★
									
	Nasty Plot	Dark	Special Status	0	15	Sp.Atk Up 4		Self	★★
	Snatch	Dark	Special Status	0	15		Has Priority. Whenever a Pokemon in the Room heals or changes their Stats this turn, you steal it for yourself.	Self	★★
	Magnet Rise	Electric	Special Status	0	15		User gains Levitate for 5 turns	Self	★★
	Aromatic Mist	Fairy	Special Status	0	15	Sp.Def Up 2		Ally up to 2 tiles ahead	★★
	Floral Healing	Fairy	Special Status	2	15		Heals the target for the amount rolled.	Self or Ally up to 2 tiles ahead	★★
	Defog	Flying	Special Status	0	15		Clears the room of all Hazards and Traps, and Screens	Room	★★
	Confuse Ray	Ghost	Special Status	0	15	Confused	Uses Decieve vs Awareness	Foe up to 2 tiles ahead	★★
	Spite	Ghost	Special Status	0	15		Target loses the PP of the last move they used	Foe in front	★★
	Stun Spore	Grass	Special Status	0	15	Paralysed		Foes in a 1-tile range	★★
	Worry Seed	Grass	Special Status	0	15		Target's Ability is changed to Insomnia.	Foe up to 2 tiles ahead	★★
	Rototiller	Ground	Special Status	0	15	Atk Up 2. Sp.Atk Up 2.	Only Grass Type Pokemon can recieve this benefit.	Room	★★
	Haze	Ice	Special Status	0	15		All stat changes are reset.	Room	★★
	Confide	Normal	Special Status	0	15	Sp Atk Down 4	Uses Influence vs Intuition.	Foe up to 2 tiles ahead	★★
	Attract	Normal	Special Status	0	15	Infatuated	Uses Influence vs Intuition.	Foe up to 2 tiles ahead	★★
	Mean Look	Normal	Special Status	0	15	Frightened	Uses Influence vs Intuition.	Foe up to 2-tiles ahead	★★
	Encore	Normal	Special Status	0	15		Target must use the same move again.	Foe up to 2 tiles ahead	★★
	Toxic	Poison	Special Status	0	15	Badly Poisoned		Foe in front	★★
	Trick	Psychic	Special Status	0	15		You replace your current Held Item with the Foe's.Uses Sneak vs Awareness	Foe up to 2 tiles ahead	★★
	Ally Switch	Psychic	Special Status	0	15		User, or an Ally of their choice, swaps places with an Ally.	Room	★★
	Cosmic Power	Psychic	Special Status	0	15	Def Up 2. Sp.Def Up 2.		Self	★★
	Skill Swap	Psychic	Special Status	0	15		Target swaps Ability with the User.	Foe up to 2 tiles ahead	★★
	Magic Coat	Psychic	Special Status	0	15		User gains Magic Coat Status for 4 turns.	Self	★★
	Metal Sound	Steel	Special Status	0	15	Sp.Def Down 4		Foe up to 2 tiles ahead	★★
	Aqua Veil	Water	Special Status	1	15		User heals for the amount rolled when used, and at the start of each subsequent turn for 4 rounds.	Self	★★
									
									
	[Name]	[Type]	[Category]	[Power]	[PP]	Conditions	Other Effects	[Targets]	[LEVEL]
	Pin Missile	Bug	Physical	1	15		Roll a d6. This move attacks that many times. Reroll 6's.	Foe in front	★★★
	Fell Stinger	Bug	Physical	2	15		If Foe is KO'd by this move, Atk Up 2.	Foe in front	★★★
	Fury Cutter	Bug	Physical	1	15		Move power increases by 1 when used in succession. This effect stacks to a maximum of Move Power 5. The move power is reset after a battle ends.	Foe in front	★★★
	X-Scissor	Bug	Physical	4	15		Scores a Critical Hit on a 5-6.	Foe in front	★★★
	Steamroller	Bug	Physical	2	15		Move power increases by 1 if the target is smaller than you. Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe in front	★★★
	Assurance	Dark	Physical	3	15		Move power increases by 1 if damaged this turn.	Foe in front	★★★
	Crunch	Dark	Physical	3	15	Def Down 2		Foe in front	★★★
	Throat Chop	Dark	Physical	3	15	Silenced		Foe in front	★★★
	Jaw Lock	Dark	Physical	2	15	Trapped	If the target is successfully Trapped, the User is also Restrained.	Foe in front	★★★
	Foul Play	Dark	Physical	3	15		Move power increases by 1 if the target has increased their Attack.	Foe in front	★★★
	Kowtow Cleave	Dark	Physical	3	15		Uses Deceive vs Intuition.	Foe in front	★★★
	Wicked Blow	Dark	Physical	3	15		Scores a Critical Hit on a 5-6.	Foe in front	★★★
	Scale Shot	Dragon	Physical	1	15		Roll a d6. This move attacks that many times. Reroll 6's.	Foe in front	★★★
	Dragon Darts	Dragon	Physical	2	15		Hits twice. The second Dragon Dart can be aimed at a separate target.	Foe up to 2 tiles ahead	★★★
	Breaking Swipe	Dragon	Physical	2	15	Atk Down 2		Foes in a 1-tile range	★★★
	Thunder Punch	Electric	Physical	3	15	Paralyzed		Foe in front	★★★
	Wild Charge	Electric	Physical	4	15	Paralyzed	Deals half the damage dealt back to the User as Recoil.	Foe in front	★★★
	Alluring Voice	Fairy	Physical	2	15	Infatuated		Foes in a 1-tile range	★★★
	Lumina Crash	Fairy	Physical	3	15	Sp.Atk Down 2		Foe in front	★★★
	Cross Chop	Fighting	Physical	3	15		Scores a Critical Hit on a 5-6.	Foe in front	★★★
	Circle Throw	Fighting	Physical	3	15		Target is pushed 4 tiles away. If they collide with a wall or a Pokemon, they take 1d6 damage.	Foe in front	★★★
	Submission	Fighting	Physical	4	15		Deals half the damage dealt back to the User as Recoil.	Foe in front	★★★
	Reversal	Fighting	Physical	2	15		Move power increases by 1 if the User is below 50% HP. Move power increases by 2 if the User is below 10% HP.	Foe in front	★★★
	Force Palm	Fighting	Physical	3	15	Paralyzed		Foe in front	★★★
	Drain Punch	Fighting	Physical	3	15		User heals for half the damage taken by the target	Foe in front	★★★
	Arm Thrust	Fighting	Physical	1	15		Roll a d6. This move attacks that many times. Reroll 6's.	Foe in front	★★★
	Brick Break	Fighting	Physical	3	15		Breaks Screens	Foe in front	★★★
	Wake-Up Slap	Fighting	Physical	3	15		Move power increases by 1 if the target is Asleep.	Foe in front	★★★
	Sky Uppercut	Fighting	Physical	3	15		Can hit Foes using Fly, Bounce or Sky Drop.	Foe in front	★★★
	Blaze Kick	Fire	Physical	3	15		Target is pushed 4 tiles away. If they collide with a wall or a Pokemon, they take 1d6 damage.	Foe in front	★★★
	Fire Punch	Fire	Physical	3	15	Burned		Foe in front	★★★
	Heat Crash	Fire	Physical	3	15		Move power increases by 1 if the target is two size categories smaller than you.	Foe in front	★★★
	Bitter Blade	Fire	Physical	3			User heals for half the damage taken by the target	Foe in front	★★★
	Acrobatics	Flying	Physical	3	15		Increase move power by 1 if the user is not holding an item.	Foe in front	★★★
	Drill Peck	Flying	Physical	3	15		Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe in front	★★★
	Fly (HM Only)	Flying	Physical	3	15		User becomes Invulnerable for 1 turn, and then damages the target on the 2nd turn. Can be used to Fly outside of the Dungeon.	Foe up to 6 tiles ahead	★★★
	Sky Drop	Flying	Physical	3	15		User and target become Invulnerable for 1 turn, and then damages the target on the 2nd turn.	Foe in front	★★★
	Phantom Force	Ghost	Physical	3	15		User becomes Invulnerable for 1 turn, and then damages the target on the 2nd turn.	Foe up to 6 tiles ahead	★★★
	Shadow Claw	Ghost	Physical	3	15		Scores a Critical Hit on a 5-6.	Foe in front	★★★
	Shadow Punch	Ghost	Physical	2	15		Has Priority.	Foe up to 2 tiles ahead	★★★
	Spirit Shackle	Ghost	Physical	3	15	Restrained		Foe in front	★★★
	Leaf Blade	Grass	Physical	3	15		Scores a Critical Hit on a 5-6.	Foe in front	★★★
	Bullet Seed	Grass	Physical	1	15		Roll a d6. This move attacks that many times. Reroll 6's.	Foe up to 2 tiles ahead	★★★
	Horn Leech	Grass	Physical	3	15		User heals for half the damage taken by the target	Foe in front	★★★
	Dig	Ground	Physical	3	15		User becomes Invulnerable for 1 turn, and then damages the target on the 2nd turn. Can be used to escape the Dungeon.	Foe up to 6 tiles ahead	★★★
	Bonemerang	Ground	Physical	2	15		Hits twice. The second Bonemerang can be aimed at a seperate target.	Foe up to 2 tiles ahead	★★★
	Drill Run	Ground	Physical	3	15		Scores a Critical Hit on a 5-6.	Foe in front	★★★
	Magnitude	Ground	Physical	---	15		Roll 1d6. On a 1-2, Move power is 2. On a 3-4, Move Power is 3. On a 5-6, Move Power is 4.	Room	★★★
	High Horsepower	Ground	Physical	3	15		Roll a d6 after damage has been dealt. On a 5-6, Spe Up 2	Foe in front	★★★
	Ice Ball	Ice	Physical	1	15		Roll in a direction until you hit a wall, hitting any target in the path. This move must be used for 4 turns consecutively. Move power increases by 1 for each use until it ends. Rollout ends if you do not hit a Pokemon.	All targets in path	★★★
	Ice Punch	Ice	Physical	3	15	Frozen		Foe in front	★★★
	Icicle Crash	Ice	Physical	3	15		Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe in front	★★★
	Icicle Spear	Ice	Physical	1	15		Roll a d6. This move attacks that many times. Reroll 6's.	Foe in front	★★★
	Fury Swipes	Normal	Physical	1	15		Roll a d6. This move attacks that many times. Reroll 6's.	Foe in front	★★★
	Cut (HM Only)	Normal	Physical	3	15		Can Cut down trees in a Dungeon.	Foe in front	★★★
	Strength (HM Only)	Normal	Physical	3	15		Target is pushed 4 tiles away. If they collide with a wall or a Pokemon, they take 1d6 damage. Having Strength auto-succeeds Strength checks.	Foe in front	★★★
	Slash	Normal	Physical	3	15		Scores a Critical Hit on a 5-6.	Foe in front	★★★
	Chip Away	Normal	Physical	3	15		Ignores stat changes in the target's Defence	Foe in front	★★★
	Take Down	Normal	Physical	4	15		Deals half the damage dealt back to the User as Recoil.	Foe in front	★★★
	Mega Punch	Normal	Physical	3	15		Target is pushed 4 tiles away. If they collide with a wall or a Pokemon, they take 1d6 damage.	Foe in front	★★★
	Body Slam	Normal	Physical	3	15	Paralyzed		Foe in front	★★★
	Flail	Normal	Physical	2	15		Move power increases by 1 if the User is below 50% HP. Move power increases by 2 if the User is below 10% HP.	Foe in front	★★★
	Hyper Fang	Normal	Physical	3	15		Roll a d6 after damage has been dealt. On a 6, the target is Flinched.	Foe in front	★★★
	Cross Poison	Poison	Physical	3	15		Scores a Critical Hit on a 5-6.	Foe in front	★★★
